,City,Cloudiness,Country,Date,Humidity,Latitude,Lng,Max Temp,Wind Speed
0,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
1,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
2,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
3,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
4,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
5,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
6,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
7,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
8,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
9,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
10,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
11,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
12,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
13,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
14,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
15,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
16,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
17,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
18,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
19,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
20,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
21,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
22,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
23,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
24,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
25,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
26,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
27,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
28,Puerto Ayora,75,EC,1570033093,64,-0.74,-90.35,75.2,12.75
